Iso3,Location Name,AMRO subregions,Causename Eng,Year,Sex,Age group,Measure Name En,Metric Name En,Value,Value Low,Value Up
CAI,"Central America, Mexico and Latin Caribbean",Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Both sexes,All ages,Years Lived with Disability (YLDs),Rate,739.1,493.97,"1,038.25"
CAI,"Central America, Mexico and Latin Caribbean",Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Both sexes,All ages,Years of Life Lost (YLLs),Rate,"1,297.50","1,172.82","1,442.29"
CAI,"Central America, Mexico and Latin Caribbean",Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,Age-standardized,Deaths,Rate,54.97,50.14,60.38
CAI,"Central America, Mexico and Latin Caribbean",Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,Age-standardized,Disability-Adjusted Life Years (DALYs),Rate,"2,214.08","1,843.93","2,662.03"
CAI,"Central America, Mexico and Latin Caribbean",Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,Age-standardized,Years Lived with Disability (YLDs),Rate,732.79,490.46,"1,032.25"
CAI,"Central America, Mexico and Latin Caribbean",Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,Age-standardized,Years of Life Lost (YLLs),Rate,"1,481.29","1,353.48","1,629.78"
CAI,"Central America, Mexico and Latin Caribbean",Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,All ages,Deaths,Rate,46.34,42.26,50.9
CAI,"Central America, Mexico and Latin Caribbean",Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,All ages,Disability-Adjusted Life Years (DALYs),Rate,"1,927.24","1,602.25","2,321.67"
CAI,"Central America, Mexico and Latin Caribbean",Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,All ages,Years Lived with Disability (YLDs),Rate,645.27,431.27,910.4
CAI,"Central America, Mexico and Latin Caribbean",Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,All ages,Years of Life Lost (YLLs),Rate,"1,281.97","1,170.98","1,411.27"
CAI,"Central America, Mexico and Latin Caribbean",Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,Age-standardized,Deaths,Rate,53.59,47.76,59.89
CAI,"Central America, Mexico and Latin Caribbean",Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,Age-standardized,Disability-Adjusted Life Years (DALYs),Rate,"2,223.64","1,796.00","2,732.41"
