Location Code,Location Name En,Indicator Name En,Age Group En,Sex En,Year,Value,Value Low,Value High
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),18+ years,Male,1995,7.13%,6.10%,8.30%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),18+ years,Male,2000,8.12%,7.20%,9.10%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),18+ years,Male,2005,9.41%,8.60%,10.20%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),18+ years,Male,2010,10.94%,10.20%,11.80%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),18+ years,Male,2015,12.31%,11.30%,13.30%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),18+ years,Male,2019,13.45%,11.90%,15.20%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),18+ years,Male,2020,13.76%,11.90%,15.80%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),18+ years,Male,2021,14.08%,11.80%,16.50%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (crude estimates),18+ years,Male,2022,14.43%,11.80%,17.30%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),30+ years,Both sexes,1990,9.31%,8.10%,10.60%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),30+ years,Both sexes,1995,10.30%,9.30%,11.40%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),30+ years,Both sexes,2000,11.15%,10.30%,12.10%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),30+ years,Both sexes,2005,12.31%,11.60%,13.00%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),30+ years,Both sexes,2010,13.77%,13.10%,14.50%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),30+ years,Both sexes,2015,14.97%,14.20%,15.80%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),30+ years,Both sexes,2019,15.93%,14.50%,17.40%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),30+ years,Both sexes,2020,16.21%,14.60%,18.00%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),30+ years,Both sexes,2021,16.50%,14.60%,18.60%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),30+ years,Both sexes,2022,16.81%,14.70%,19.30%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),30+ years,Female,1990,9.28%,7.50%,11.20%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),30+ years,Female,1995,10.15%,8.70%,11.70%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 30+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),30+ years,Female,2000,10.83%,9.60%,12.10%
